Property,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021
"Listado de noticias mas recientes desde una base de datos preparada de antemano desde hace 6 meses, las cuales pueden provenir de YouTube (video), newsletter (titular), NewsApi (titular), Hacker News (titular) y Twitter (tweet).",,,,,,,,,,,,,,
Mostrarse las primeras cinco noticias más recientes.,,,,,,,,,,,,,,
Mostrarse las siguientes cinco noticias más recientes.,,,,,,,,,,,,,,
"Dado un usuario anónimo o autenticado Cuando seleccione una noticia, mostrar la noticia desde la aplicación o redirigir a donde sea pertinente.",,,,,,,,,,,,,,
"Listado de aplicaciones ordenadas por mayor uso desde una base datos, las cuales pueden ser aplicaciones web y páginas de dart.",,,,,,,,,,,,,,
Dado un usuario autenticado Cuando seleccione una aplicación tipo web embebible Entonces se abre la página embebida.,,,,,,,,,,,,,,
Dado un usuario autenticado Cuando seleccione una aplicación tipo dart Entonces se ejecuta el código correspondiente.,,,,,,,,,,,,,,
"Autenticar al usuario vía correo electrónico, Facebook y Google usando Firebase.",,,,,,,,,,,,,,
Registro e inicio de sesión automático con correo electrónico y contraseña.,,,,,,,,,,,,,,
Registro e inicio de sesión automático con Google.,,,,,,,,,,,,,,
Registro e inicio de sesión automático con Facebook.,,,,,,,,,,,,,,
Cumplir con medidas de seguridad sobre el uso de token: no compartir claves privadas en repositorios ni sobre el código.,,,,,,,,,,,,,,
Verificar en la lista nominal del INE si es una credencial vigente.,,,,,,,,,,,,,,
Validar INE,,,,,,,,,,,,,,
Convertir imagen a objeto INE (uso de Google Vision),,,,,,,,,,,,,,
Raspar y parsear la información de la lista nominal del INE (2captcha y Puppeteer),,,,,,,,,,,,,,
"Si la credencial es válida, entonces el usuario quiere compartir su resultado en redes sociales",,,,,,,,,,,,,,
"Si la credencial es válida, entonces el usuario quiere descargar su resultado",,,,,,,,,,,,,,
"Si la credencial es válida, entonces el usuario quiere mandarla al clipboard.",,,,,,,,,,,,,,
Mostrar imagen del resultado de la lista nominal y un mensaje con respecto al mismo.,,,,,,,,,,,,,,
Publicar video,,,,,,,,,,,,,,
Subir aplicación a google play,,,,,,,,,,,,,,
,Carlo Pano,,,,,,,,,,,,,
,Carlo Sanchez,,,,,,,,,,,,,
Otras,,,,,,,,,,,,,,
Dynamic Links,,,,,,,,,,,,,,